"vm","timestamp","end_time","odo","end_odo","soc","end_soc","event","charge_mode"
-8.99632E+l8,01/01/2021 20:31,01/01/2021 20:38,"443,664","443,947",564,549,trip,
-8.99632E+ 18,01/01/202120:39,02/01/202115:13,"443,947","443,947",549,100,charge,240
-8.99632E+18,02/01/202115:13,02/01/202115:21,"443,947","444,250",100,100,trip,
-8.99632E+18,02/01/202115:21,02/01/202117:46,"444,250","445,713",100,945,trip,
-8.99632E+18,02/01/202117:46,02/01/202117:53,"445,713","446,145",945,945,trip,
-8.99632E+l8,02/01/202118:18,02/01/202118:19,"446,145","446,148",941,941,trip,
-8.99632E+ 18,02/01/202121:28,02/01/2021 21:47,"446,148","448,075",937,894,trip,
-8.99632E+18,03/01/202114:08,03/01/202115:01,"448,075","456,017",89,701,trip,
-8.99632E+18,03/01/202115:18,03/01/202115:21,"456,017","456,036",70.1,701,trip,
-8.99632E+18,03/01/202119:35,03/01/2021 21:04,"456,036","465,694",705,439,trip,
-8.99632E+l8,03/01/2021 21:17,03/01/2021 21:18,"465,694","465,823",435,435,trip,
-8.99632E+ 18,03/01/202121:18,03/01/2021 21:56,"465,823","465,823",435,466,charge,240
-8.99632E+18,03/01/202121:56,03/01/2021 22:00,"465,823","465,891",466,466,trip,
-8.99632E+18,03/01/202122:01,03/01/2021 22:08,"465,892","466,239",466,454,trip,
-8.99632E+18,04/01/202117:45,04/01/202117:51,"466,239","466,520",458,45,trip,
-8.99632E+l8,04/01/202117:54,04/01/202117:54,"466,520","466,520",45,,charge,240
-8.99632E+ 18,04/01/202117:54,04/01/202118:16,"466,520","466,795",,443,trip,
-8.99632E+18,04/01/202118:16,05/01/202101:28,"466,795","466,795",443,725,charge,240
-8.99632E+18,05/01/202101:28,05/01/202102:39,"466,795","476,839",72.5,486,trip,
-8.99632E+18,05/01/2021 03:00,05/01/2021 04:01,"476,839","486,561",482,164,trip,
-8.99632E+l8,05/01/202111:47,05/01/202111:56,"486,561","486,842",168,16,trip,
-8.99632E+ 18,05/01/202111:57,05/01/202111:59,"486,842","486,842",16,16,charge,240
-8.99632E+18,05/01/202111:59,05/01/202111:59,"486,842","486,842",16,16,trip,
-8.99632E+18,05/01/202111:59,05/01/202117:05,"486,842","486,842",16,584,charge,240
-8.99632E+18,05/01/202117:05,05/01/202117:12,"486,842","487,095",584,588,trip,
-8.99632E+l8,05/01/202118:28,05/01/202118:48,"487,095","488,048",592,584,trip,
-8.99632E+ 18,05/01/202118:52,05/01/202118:54,"488,048","488,048",58,596,charge,DCCharging
-8.99632E+18,05/01/202118:54,05/01/202118:54,"488,048","488,048",596,596,trip,
-8.99632E+18,05/01/202118:54,05/01/202119:29,"488,048","488,048",596,811,charge,DCCharging
-8.99632E+18,05/01/202119:29,05/01/2021 20:28,"488,048","497,309",81.1,607,trip,
-8.99632E+l8,05/01/2021 20:28,05/01/2021 20:31,"497,309","497,325",607,607,trip,
-8.99632E+ 18,05/01/202120:31,05/01/2021 20:34,"497,325","497,408",607,603,trip,
